P1822_1	P1822_2	P1822_3	P1822_4	P1822_5	P1822_6	P1822_7	P1822_8	P1822_9	P1822_10	P1822_11	P1822_12	P1822_13	P1822_14	P1822_15	P1822_16
ENSMUSG00000102693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	3	4	9	8	9	8	8	7	66	55	59	79	96	120	147	134
ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	1
ENSMUSG00000103161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000102948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	13	14	13	8	12	7	27	30	11	11	18	17	12	9	13	13
ENSMUSG00000104238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269	6	12	11	4	7	3	4	7	6	3	4	7	2	4	2	2
ENSMUSG00000096126	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
