P1822_1	P1822_2	P1822_3	P1822_4	P1822_5	P1822_6	P1822_7	P1822_8	P1822_9	P1822_10	P1822_11	P1822_12	P1822_13	P1822_14	P1822_15	P1822_16
ENSMUSG00000051951	2.60815837574253	2.83817168402118	3.78293097076368	3.3623329794606	3.72207681196637	3.59903977950207	3.55983802919186	3.16810674619627	6.34690113602479	5.97994574667007	6.05701969344796	6.28787900873021	6.85561881230548	7.08944281056513	7.33218077245133	7.13954922600483
ENSMUSG00000103147	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	2.54819192940161	1.17088094653637	1.17088094653637	2.35983220054626	1.17088094653637	1.17088094653637	1.17088094653637	1.71673917369612
ENSMUSG00000025902	4.24156866052795	4.27800218244694	4.23894663604111	3.3623329794606	4.07422757114109	3.44418904642312	5.10657898639043	4.96000608309096	3.94882370011162	3.85044910575931	4.45135464737982	4.2157285951691	4.03969403492092	3.62019198578751	4.02706149837048	3.97380846558849
ENSMUSG00000102269	3.31368206103895	4.08324860635727	4.02888181293515	2.64794940726972	3.42817304297784	2.5732063831127	2.81191497685557	3.16810674619627	3.23978361994576	2.47804041469775	2.72525139152445	3.16595374329212	2.20704893936715	2.74760241350734	2.14184306447364	2.11181974661017
ENSMUSG00000104328	1.82106134781828	1.79759474959888	1.17088094653637	1.70290481882186	1.79393611554748	1.80106055256765	2.54337047433416	1.68434507929882	1.17088094653637	2.47804041469775	2.14799793484472	3.00265242257072	1.78005590701825	1.17088094653637	2.71699492243143	2.11181974661017
ENSMUSG00000098104	2.60815837574253	2.23306336866736	3.64220555946393	2.39607483008036	2.83104881122551	1.80106055256765	2.54337047433416	3.16810674619627	2.54819192940161	2.73942449060035	2.14799793484472	1.68348525693948	1.17088094653637	2.74760241350734	2.14184306447364	2.42163981536479
ENSMUSG00000102175	1.82106134781828	1.17088094653637	1.81998213640428	1.17088094653637	1.79393611554748	1.17088094653637	1.17088094653637	1.68434507929882	1.78687380693577	1.74765732631522	1.74062850516399	1.68348525693948	1.78005590701825	1.75172881472935	1.73654994379244	1.71673917369612
ENSMUSG00000103922	3.48863389674255	3.43641011909489	3.48625480699834	2.64794940726972	1.79393611554748	4.09176340279334	2.54337047433416	3.00471908441156	4.25095412471635	2.47804041469775	3.59267636092831	2.35983220054626	3.68903324902998	3.33118682023667	3.58248700904225	3.24785718912232
ENSMUSG00000033845	10.2857222156006	10.0439490569818	10.1362947197866	10.092312812197	10.3319144721107	10.2838090524076	10.2111307939489	10.1063477728334	10.152116897666	10.197437802186	10.0496550734063	10.1085101079865	9.89141488216943	9.87105831204521	10.1402294031299	9.91004276110819
ENSMUSG00000104217	4.50856789167795	4.18390919572506	4.58491432854505	4.19507641128138	4.85826993757003	4.53711646946875	4.04993555254785	4.81955219802742	3.94882370011162	2.96063694794642	3.93878273894982	4.05827901229221	3.55025045367449	3.62019198578751	3.58248700904225	3.87545692768388
ENSMUSG00000033813	11.6812227511576	11.6274175021085	11.8763203822635	11.9374206920424	11.82183968155	11.9013924943959	11.8187640518593	11.6842902881163	11.4129776457728	11.5989557071022	11.2719923763678	11.6285662612958	11.525943582322	11.4916666632575	11.4319276712571	11.5056539441575
ENSMUSG00000062588	2.60815837574253	1.79759474959888	1.81998213640428	1.70290481882186	1.17088094653637	1.80106055256765	1.17088094653637	2.36144587450183	2.54819192940161	1.17088094653637	2.72525139152445	1.17088094653637	2.20704893936715	1.75172881472935	1.17088094653637	1.17088094653637
ENSMUSG00000103280	1.82106134781828	1.17088094653637	1.17088094653637	1.70290481882186	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.74062850516399	1.17088094653637	1.78005590701825	1.17088094653637	1.17088094653637	1.17088094653637
ENSMUSG00000002459	3.48863389674255	3.85804005202646	3.11234581351346	3.21411818825519	2.83104881122551	3.27069657298817	2.54337047433416	3.31485855531403	2.2171797401981	2.96063694794642	3.30505154885688	3.31263590907051	1.78005590701825	2.96940438431574	2.71699492243143	1.71673917369612
ENSMUSG00000033793	12.2052671276527	12.1687470677643	12.463774606444	12.5518431808535	12.1648544639107	12.3052443405167	12.1523726952403	11.9988294140364	12.2964517816134	12.4234793402002	12.1752971196018	12.4177357288554	12.0427887545874	12.0346414901928	12.0232572020554	12.0502985428479
ENSMUSG00000025907	11.1862483184262	11.3211609639916	11.3844500980353	11.4684811155077	11.2580097065237	11.4303725331034	11.2674359849893	11.3591244583081	11.5995924358534	11.6643602459904	11.583698625424	11.783221617776	11.4782887285682	11.5789973596846	11.3889629865932	11.4739699089935
ENSMUSG00000090031	5.84232550178596	6.19566815576667	6.18213053786554	6.23932837596057	5.59882651576262	5.61811571658767	6.13408797924927	6.56448495768755	6.76789064896228	6.91482325058949	6.76953960482733	6.91166417543484	6.52594599329462	6.72861899751629	6.20143168730734	6.20352443289352
ENSMUSG00000087247	1.82106134781828	2.56711267864107	2.60628161897001	1.70290481882186	1.17088094653637	1.17088094653637	1.78415160317862	1.68434507929882	2.54819192940161	2.1585842803821	1.74062850516399	1.68348525693948	2.80386871205143	2.48539423264582	1.17088094653637	2.89310331239898
ENSMUSG00000103845	1.17088094653637	1.79759474959888	2.26605044060617	1.70290481882186	2.56066785010791	3.27069657298817	3.03823033670208	2.06225917381637	1.17088094653637	2.1585842803821	1.17088094653637	2.06093560952021	3.22479850156553	1.17088094653637	2.14184306447364	2.11181974661017
ENSMUSG00000033740	1.17088094653637	1.79759474959888	1.17088094653637	2.64794940726972	2.83104881122551	1.80106055256765	1.17088094653637	2.06225917381637	1.78687380693577	1.17088094653637	1.74062850516399	2.06093560952021	2.53610308535076	1.75172881472935	1.17088094653637	1.71673917369612
ENSMUSG00000102135	3.48863389674255	2.56711267864107	2.88139033677573	2.64794940726972	3.05866596169887	1.80106055256765	3.03823033670208	2.36144587450183	2.2171797401981	3.15239641913082	2.14799793484472	2.06093560952021	3.02963110259242	2.74760241350734	2.45789278306153	2.42163981536479
ENSMUSG00000051285	9.74364206577371	10.053958103874	9.94733697706367	10.1238127410376	9.40082361779988	9.7554023410522	9.55543123312618	10.1013004645483	11.0050871152619	10.8664556948567	10.9473687142452	10.9987858617194	10.6590278741615	10.7425408142641	10.5280381353946	10.6706168074244
ENSMUSG00000098201	1.82106134781828	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.80106055256765	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.74062850516399	1.17088094653637	1.17088094653637	1.75172881472935	1.73654994379244	1.17088094653637
ENSMUSG00000048538	4.03144824787039	3.97503433178544	3.3113799927854	3.49672956710055	3.582596228233	3.44418904642312	3.40601446236672	2.06225917381637	3.70531896067162	1.17088094653637	2.14799793484472	3.16595374329212	4.13989808154821	3.86085282433104	4.20669929131177	3.87545692768388
ENSMUSG00000097797	4.14033043488273	4.98410335717021	3.3113799927854	4.02754542186704	3.25521720668619	4.09176340279334	3.03823033670208	5.38239319616857	4.15710270482834	3.47308375053964	4.71361003339088	3.44577130228441	4.32157050240661	5.11349986185598	4.51021788959939	4.91687015732609
ENSMUSG00000103067	1.17088094653637	1.17088094653637	1.17088094653637	1.70290481882186	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	1.17088094653637	2.20704893936715	2.16470458869002	1.17088094653637	1.71673917369612
